%time,epauleARG,epauleAVD,coudeARG,coudeAVD,aileARG,aileAVD,epauleARD,epauleAVG,coudeARD,coudeAVG,aileARD,aileAVG
0,0.726961978,0.726961978,1.577927636,1.577927636,0,0,0.726961978,0.726961978,1.577927636,1.577927636,0,0
0.045975104,0.726961978,0.726961978,1.577927636,1.577927636,0,0,0.726961978,0.726961978,1.577927636,1.577927636,0,0
0.091950207,0.726661086,0.726814792,1.577671462,1.578013987,-4.38E-05,4.70E-05,0.726638522,0.726835901,1.577627992,1.57805427,4.38E-05,-4.70E-05
0.137925311,0.725779099,0.726376388,1.576900447,1.578229022,-0.000161866,0.000173076,0.725697602,0.726452779,1.576743113,1.578375187,0.000161875,-0.000173067
0.183900415,0.72434709,0.725651592,1.575611301,1.578506784,-0.000334228,0.000356135,0.724183448,0.725805396,1.575294616,1.578801976,0.000334264,-0.000356097
0.229875519,0.722396217,0.724645293,1.573801309,1.578781375,-0.000540929,0.000573961,0.722140387,0.724886587,1.573304732,1.579246254,0.000541021,-0.000573861
0.275850622,0.719957739,0.723362366,1.571468311,1.57898692,-0.000762029,0.000804375,0.719612861,0.723689121,1.570796184,1.579619617,0.000762211,-0.000804182
0.321825726,0.717063032,0.721807629,1.568610674,1.579057561,-0.0009776,0.001025211,0.716645436,0.72220563,1.567792074,1.57983364,0.000977894,-0.001024901
0.36780083,0.713743614,0.719985804,1.565227271,1.578927477,-0.001167717,0.001214311,0.713282805,0.720428566,1.564315772,1.579799923,0.001168128,-0.001213885
0.413775934,0.710031155,0.717901507,1.561317458,1.578530932,-0.001312455,0.001349524,0.709569787,0.718350195,1.560390816,1.579430196,0.001312957,-0.001349012
0.459751037,0.705957492,0.715559257,1.556881058,1.577802355,-0.001391875,0.001408702,0.705551323,0.71596263,1.556040825,1.578636462,0.001392407,-0.001408168
0.505726141,0.701554644,0.7129635,1.551918339,1.576676434,-0.001386016,0.001369696,0.701272462,0.713257893,1.551289418,1.577331194,0.001386491,-0.001369231
0.551701245,0.696854045,0.71012198,1.546444359,1.575112534,-0.001278274,0.001214353,0.696774701,0.710233957,1.546169463,1.575456358,0.001278589,-0.001214051
0.597676349,0.691884053,0.707055782,1.54053173,1.573167524,-0.001065539,0.000940533,0.69208487,0.706912699,1.540750852,1.573069768,0.001065616,-0.000940448
0.643651452,0.686671928,0.703789354,1.534266909,1.570922645,-0.000748037,0.000550083,0.687225815,0.703322033,1.535112205,1.57025827,0.000747848,-0.000550199
0.689626556,0.681244512,0.700347134,1.52773562,1.568459064,-0.000325937,4.48E-05,0.682219981,0.699489878,1.52933144,1.567108703,0.000325531,-4.50E-05
0.73560166,0.675628191,0.696753515,1.521022751,1.565857783,0.000200647,-0.000573361,0.677089413,0.695444088,1.523485731,1.563707724,-0.000201119,0.000573298
0.781576763,0.669848897,0.693032847,1.514212297,1.56319958,0.000831651,-0.001302689,0.671855784,0.691212422,1.517651508,1.560141694,-0.000831913,0.001303147
0.827551867,0.663932137,0.689209457,1.507387342,1.560564995,0.001567065,-0.002141303,0.666540444,0.686822537,1.511904486,1.556496595,-0.001566688,0.002142827
0.873526971,0.657903044,0.685307708,1.500630085,1.558034354,0.002406921,-0.003087346,0.661164496,0.682302011,1.506319731,1.552857995,-0.002405302,0.00309067
0.919502075,0.651884985,0.68084179,1.491419449,1.551842813,0.003366765,-0.004142232,0.655748901,0.677678405,1.500971752,1.549311058,-0.003347626,0.004145006
0.965477178,0.646083695,0.67551759,1.477748147,1.538981195,0.004461292,-0.005308594,0.650314602,0.672979338,1.495934617,1.545940588,-0.004393538,0.005304151
1.011452282,0.640706741,0.669717013,1.460558804,1.520759264,0.005683884,-0.006580659,0.64491403,0.668262228,1.491344446,1.542889395,-0.005537231,0.00656055
1.057427386,0.636106602,0.663949401,1.441067952,1.498707311,0.007005119,-0.007929191,0.639725402,0.663703461,1.48758553,1.540532482,-0.0067501,0.007883119
1.10340249,0.632649978,0.658733104,1.420532002,1.474373003,0.008389357,-0.009318528,0.634959464,0.65951038,1.485102364,1.539301653,-0.007997708,0.00923463
1.149377593,0.630663908,0.65454124,1.400163946,1.449242064,0.009800044,-0.01071209,0.63082982,0.655893148,1.484339353,1.539629068,-0.009245437,0.010577528
